,Missing,Percentage
timestamp,0,0.0
Year,5113,4.165105329184248
Month,5113,4.165105329184248
Day,5113,4.165105329184248
Hour,5113,4.165105329184248
Minute,5113,4.165105329184248
GlobHor,5113,4.165105329184248
DiffHor,5113,4.165105329184248
BeamNor,5113,4.165105329184248
T_amb,5113,4.165105329184248
WindVel,5113,4.165105329184248
RH,5113,4.165105329184248
Pressure,5113,4.165105329184248
Rain,5113,4.165105329184248
GlobInc,0,0.0
GlobEff,0,0.0
EArray,0,0.0
E_Grid,0,0.0
PR,0,0.0
TArray,0,0.0
plant,0,0.0
city,0,0.0
