hour,MAE_kW_with_real_climate
1,241.3909289608937
2,242.18669263818757
3,244.56299424337817
4,245.20149989239536
5,249.9068376977717
6,257.32407827886556
7,264.26904524162035
8,275.0965258785746
9,283.10275220146394
10,284.43006834235405
11,280.1123949576877
12,271.50016081264243
13,263.64619209977604
14,257.5875739860401
15,254.2488900275744
16,253.49625680727343
17,253.15454073898323
18,252.89999797425423
19,252.8764210720938
20,252.85940693498546
21,252.84419839781665
22,252.8301641803207
23,252.81800527650353
24,252.8114438824072
