hour,MAE_kW_with_real_climate
1,1231.8778950231647
2,1266.6670588462925
3,1308.2542170994855
4,1350.3412159782026
5,1385.9241539793586
6,1408.9688688517094
7,1417.5132889318943
8,1407.2204307795048
9,1388.5832750082493
10,1346.8272035600426
11,1293.242521214652
12,1242.796708318162
13,1196.195458407569
14,1160.345128814149
15,1141.4544322098968
16,1141.3698021294354
17,1135.8095401658295
18,1132.0569205168724
19,1131.9351083270549
20,1132.0135017112732
21,1132.6557765603065
22,1136.378571219206
23,1142.7732758603097
24,1151.930944137335
