hour,MAE_kW
1,2116.9885512956703
2,3293.019575315282
3,5373.3691033302875
4,7889.818949598097
5,10641.882702874596
6,13424.21787289557
7,16008.60551906297
8,18104.844746679053
9,19477.643657105287
10,20165.650885542575
11,20375.869571716834
12,20040.225723969546
13,19287.320786582466
14,19318.37148101134
15,19591.077926696045
16,20081.012901637834
17,20684.187305794992
18,21417.81429556209
19,22143.245926032047
20,22970.106486294317
21,23900.84330127703
22,24613.73124750061
23,24223.371451414692
24,24369.884715866996
