hour,MAE_kW_with_real_climate
1,1217.526452281214
2,1221.840972857061
3,1228.0413823980866
4,1231.3808101645998
5,1258.8884496613211
6,1304.7713052332258
7,1326.2508452014633
8,1354.094622080088
9,1405.1339774992773
10,1405.0104531323323
11,1373.7697835165868
12,1333.3138573026963
13,1299.3588364718194
14,1289.299086258591
15,1276.674097628721
16,1272.57032071665
17,1265.6978434341709
18,1260.5257998453171
19,1260.9720199642904
20,1261.230500069709
21,1261.5220915218756
22,1262.030810438925
23,1262.8293389067812
24,1263.676020474659
